дата;wiki id;page id;имя;профессия;ссылка
1900-01-01;Q286224;276701;Мерсье, Эмиль;French archer;https://ru.wikipedia.org/wiki/Мерсье,_Эмиль
1900-01-01;Q367558;349735;Колеттис, Георгиос;Greek racing cyclist;https://ru.wikipedia.org/wiki/Колеттис,_Георгиос
1900-01-01;Q458195;432220;Бохач, Макс;figure skater;https://ru.wikipedia.org/wiki/Бохач,_Макс
1900-01-01;Q482280;454006;Америко Гарсия;Uruguayan politician;https://ru.wikipedia.org/wiki/Америко_Гарсия
1900-01-01;Q536872;505541;Павлидис, Павлос;sport shooter;https://ru.wikipedia.org/wiki/Павлидис,_Павлос
1900-01-01;Q965327;915064;Логан, М.;British rugby union player;https://ru.wikipedia.org/wiki/Логан,_М.
1900-01-01;Q1050936;999927;Катрин Бирн;Scottish-born Irish politician;https://ru.wikipedia.org/wiki/Катрин_Бирн
1900-01-01;Q4143623;3951763;Горби, Сара;French singer;https://ru.wikipedia.org/wiki/Горби,_Сара
1900-01-01;Q4236247;4045513;Котовский, Людвиг Иванович;Russian Soviet architect (1900-1947);https://ru.wikipedia.org/wiki/Котовский,_Людвиг_Иванович
1900-01-01;Q4263583;4073811;Василий Тимофеевич Литвиненко;;https://ru.wikipedia.org/wiki/Василий_Тимофеевич_Литвиненко
1900-01-01;Q4288037;4098705;Меерзон, Иосиф Айзикович;Soviet architect (1900-1941);https://ru.wikipedia.org/wiki/Меерзон,_Иосиф_Айзикович
1900-01-01;Q4328056;4136550;Нурали, Бяшим Юсупович;Soviet painter (1900-1965);https://ru.wikipedia.org/wiki/Нурали,_Бяшим_Юсупович
1900-01-01;Q4347567;4154538;Пашкевич, Янис;;https://ru.wikipedia.org/wiki/Пашкевич,_Янис
1900-01-01;Q4449783;4248665;Таиров, Всеволод Константинович;;https://ru.wikipedia.org/wiki/Таиров,_Всеволод_Константинович
1900-01-01;Q4491280;4287310;Фогель, Ханс;German microbiologist;https://ru.wikipedia.org/wiki/Фогель,_Ханс
1900-01-01;Q4527082;4320646;Штюрмер, Карл Генрих;немецкий оперный певец;https://ru.wikipedia.org/wiki/Штюрмер,_Карл_Генрих
1900-01-01;Q4758765;4547315;Эндрю Троелсен;Computer programmer;https://ru.wikipedia.org/wiki/Эндрю_Троелсен
1900-01-01;Q4766869;4555045;Анна Борковска;монахиня и участница движения Сопротивления;https://ru.wikipedia.org/wiki/Анна_Борковска
1900-01-01;Q5298030;5066674;Доржжавын Лувсаншарав;Mongolian politician;https://ru.wikipedia.org/wiki/Доржжавын_Лувсаншарав
1900-01-01;Q5373342;5139527;Эмануэль Сапира;бельгийский шахматист;https://ru.wikipedia.org/wiki/Эмануэль_Сапира
1900-01-01;Q5443909;5205778;Фердинанд Штайнер;Czech gymnast;https://ru.wikipedia.org/wiki/Фердинанд_Штайнер
1900-01-01;Q5567416;5327730;Глеб Боткин;1900-1969;https://ru.wikipedia.org/wiki/Глеб_Боткин
1900-01-01;Q6045013;5829935;Фэссет, Норман Картер;American botanist (1900-1954);https://ru.wikipedia.org/wiki/Фэссет,_Норман_Картер
1900-01-01;Q6139124;5932874;Джеймс Максвелл;English footballer (1900-1964);https://ru.wikipedia.org/wiki/Джеймс_Максвелл
1900-01-01;Q6167361;5962808;Джей Уолперт;American television producer and screenwriter;https://ru.wikipedia.org/wiki/Джей_Уолперт
1900-01-01;Q6770148;6616532;Марк Виктор;screenwriter;https://ru.wikipedia.org/wiki/Марк_Виктор
1900-01-01;Q6773356;6619744;Розов, Самуил Израилевич;;https://ru.wikipedia.org/wiki/Розов,_Самуил_Израилевич
1900-01-01;Q13174750;14768427;Шеркулов, Асан;;https://ru.wikipedia.org/wiki/Шеркулов,_Асан
1900-01-01;Q14918411;16587426;Павел Павлов;Olympic sailor;https://ru.wikipedia.org/wiki/Павел_Павлов
1900-01-01;Q15078009;16741295;Лапшин, Евгений Петрович;деятель советских органов госбезопасности;https://ru.wikipedia.org/wiki/Лапшин,_Евгений_Петрович
1900-01-01;Q15136203;16796398;Любимов, Семён Иванович;;https://ru.wikipedia.org/wiki/Любимов,_Семён_Иванович
1900-01-01;Q15493865;17136513;Джеймс Пак;American actor;https://ru.wikipedia.org/wiki/Джеймс_Пак
1900-01-01;Q16200785;17827435;Чарльз Браун;Canadian tennis player (20th century);https://ru.wikipedia.org/wiki/Чарльз_Браун
1900-01-01;Q24010010;26003030;Потапченко, Иван Евстафьевич;;https://ru.wikipedia.org/wiki/Потапченко,_Иван_Евстафьевич
1900-01-01;Q25531931;27484686;Абдукадыр Чалдивар;архитектор;https://ru.wikipedia.org/wiki/Абдукадыр_Чалдивар
1900-01-01;Q25577699;27530330;Бейшеналы Кулов;;https://ru.wikipedia.org/wiki/Бейшеналы_Кулов
1900-01-01;Q25579734;27532360;Кинизбаев, Тообай;Герой Социалистического Труда;https://ru.wikipedia.org/wiki/Кинизбаев,_Тообай
1900-01-01;Q27513086;29235076;Вдовин, Пётр Фёдорович;Герой Социалистического Труда;https://ru.wikipedia.org/wiki/Вдовин,_Пётр_Фёдорович
1900-01-01;Q28087598;29788648;Альбер Кайзер;люксембургский гимнаст;https://ru.wikipedia.org/wiki/Альбер_Кайзер
1900-01-01;Q31195832;32804603;Аветис Абалян;;https://ru.wikipedia.org/wiki/Аветис_Абалян
1900-01-01;Q35019756;36447578;Усов, Павел Алексеевич;;https://ru.wikipedia.org/wiki/Усов,_Павел_Алексеевич
1900-01-01;Q35023963;36451737;Стрешный, Георгий Ермолаевич;Soviet politician;https://ru.wikipedia.org/wiki/Стрешный,_Георгий_Ермолаевич
1900-01-01;Q71013612;70675602;A. Wise Guy;one of the first pornographic film directors in the United States, known for directing the stag film A Free Ride (ca. 1915);https://ru.wikipedia.org/wiki/A._Wise_Guy
1900-01-01;Q75960125;75447243;Мария Сергеевна Набокова;(1900-1972);https://ru.wikipedia.org/wiki/Мария_Сергеевна_Набокова
