дата;wiki id;page id;имя;профессия;ссылка
1924-06-08;Q4170266;3978271;Дудник, Геннадий Михайлович;Soviet Russian actor;https://ru.wikipedia.org/wiki/Дудник,_Геннадий_Михайлович
1924-06-08;Q15506220;17148823;Джордж Кирби;Comedian, actor, singer;https://ru.wikipedia.org/wiki/Джордж_Кирби
1924-06-08;Q3384290;3225208;Кардиналь, Пьер;French film screenwriter;https://ru.wikipedia.org/wiki/Кардиналь,_Пьер
1924-06-08;Q4174690;3982789;Еленин, Марк Соломонович;;https://ru.wikipedia.org/wiki/Еленин,_Марк_Соломонович
1924-06-08;Q19877573;21507084;Боб Рейд;Australian rules footballer;https://ru.wikipedia.org/wiki/Боб_Рейд
1924-06-08;Q102335;104946;Александер, Лени;composer;https://ru.wikipedia.org/wiki/Александер,_Лени
1924-06-08;Q15069121;16733887;Колесников, Владимир Дмитриевич;;https://ru.wikipedia.org/wiki/Колесников,_Владимир_Дмитриевич
1924-06-08;Q15971941;17594151;Жан-Жак Лагард;French actor;https://ru.wikipedia.org/wiki/Жан-Жак_Лагард
1924-06-08;Q356069;339742;Уолтц, Кеннет Нил;American political scientist and international relations theoretician (1924-2013);https://ru.wikipedia.org/wiki/Уолтц,_Кеннет_Нил
1924-06-08;Q1176136;1121783;Дейвид Пайнс;American physicist;https://ru.wikipedia.org/wiki/Дейвид_Пайнс
1924-06-08;Q4076999;3885484;Балунова, Соня;Czechoslovak figure skater and volleyballist;https://ru.wikipedia.org/wiki/Балунова,_Соня
1924-06-08;Q20498144;22246369;Христофорос Савва;Cypriot painter;https://ru.wikipedia.org/wiki/Христофорос_Савва
1924-06-08;Q29511744;31157973;Марк Моисеевич Богуславский;;https://ru.wikipedia.org/wiki/Марк_Моисеевич_Богуславский
1924-06-09;Q107555497;102843233;Семёнов, Валерий Семёнович (учёный);;https://ru.wikipedia.org/wiki/Семёнов,_Валерий_Семёнович_(учёный)
1924-06-09;Q826058;778853;Треффих, Бернхард;немецкий велогонщик (1924-2011);https://ru.wikipedia.org/wiki/Треффих,_Бернхард
1924-06-09;Q4077128;3885606;Баляев, Яков Илларионович;Soviet soldier;https://ru.wikipedia.org/wiki/Баляев,_Яков_Илларионович
1924-06-09;Q16333939;17962064;Кацумата, Буити;Japanese politician;https://ru.wikipedia.org/wiki/Кацумата,_Буити
1924-06-09;Q21699527;23738416;Кисинака, Сиро;politician;https://ru.wikipedia.org/wiki/Кисинака,_Сиро
1924-06-09;Q3300433;3147452;Морис Бланк;French architect;https://ru.wikipedia.org/wiki/Морис_Бланк
1924-06-09;Q11616315;12756689;Вакаараси, Такэси;;https://ru.wikipedia.org/wiki/Вакаараси,_Такэси
1924-06-09;Q4492600;4288484;Фрейденберг, Марэн Михайлович;;https://ru.wikipedia.org/wiki/Фрейденберг,_Марэн_Михайлович
1924-06-09;Q3531699;3362398;Тони Бриттон;English actor;https://ru.wikipedia.org/wiki/Тони_Бриттон
1924-06-09;Q4246200;4055323;Куликов, Георгий Иванович;советский и российский актёр театра и кино;https://ru.wikipedia.org/wiki/Куликов,_Георгий_Иванович
1924-06-09;Q16197812;17824239;Джуди Кларк;American singer (1924-2002);https://ru.wikipedia.org/wiki/Джуди_Кларк
1924-06-09;Q17426869;19023305;Торгунаков, Пётр Филиппович;;https://ru.wikipedia.org/wiki/Торгунаков,_Пётр_Филиппович
1924-06-09;Q51669434;52583593;Лев Григорьевич Кокин;;https://ru.wikipedia.org/wiki/Лев_Григорьевич_Кокин
